public/audio/questions/personal-information/personal-information-1.mp3,"How old are you?",personal-information-1
public/audio/questions/personal-information/personal-information-2.mp3,"Where do you live?",personal-information-2
public/audio/questions/personal-information/personal-information-3.mp3,"What kind of place is it?",personal-information-3
public/audio/questions/work-or-study/work-or-study-1.mp3,"What do you do?",work-or-study-1
public/audio/questions/work-or-study/work-or-study-2.mp3,"Do you enjoy your job/studies?",work-or-study-2
public/audio/questions/work-or-study/work-or-study-3.mp3,"What are the advantages of your job/field of study?",work-or-study-3
public/audio/questions/teachers/teachers-1.mp3,"Do you have a favorite teacher?",teachers-1
public/audio/questions/teachers/teachers-2.mp3,"Do you want to be a teacher in the future?",teachers-2
public/audio/questions/teachers/teachers-3.mp3,"Do you have a teacher from your past that you still remember?",teachers-3
public/audio/questions/clothes/clothes-1.mp3,"What kind of clothes do you like to wear?",clothes-1
public/audio/questions/clothes/clothes-2.mp3,"Do you prefer to wear comfortable and casual clothes or formal clothes?",clothes-2
public/audio/questions/clothes/clothes-3.mp3,"Do you like wearing T-shirts?",clothes-3
public/audio/questions/website/website-1.mp3,"What kinds of websites do you often visit?",website-1
public/audio/questions/website/website-2.mp3,"What is your favourite website?",website-2
public/audio/questions/website/website-3.mp3,"Do you prefer getting information from websites or books?",website-3
public/audio/questions/headphones/headphones-1.mp3,"Do you use headphones?",headphones-1
public/audio/questions/headphones/headphones-2.mp3,"How often do you wear headphones?",headphones-2
public/audio/questions/headphones/headphones-3.mp3,"Do you think headphones are useful?",headphones-3
public/audio/questions/shopping/shopping-1.mp3,"Do you like shopping?",shopping-1
public/audio/questions/shopping/shopping-2.mp3,"How often do you go shopping?",shopping-2
public/audio/questions/shopping/shopping-3.mp3,"Do you prefer online shopping or in-store shopping?",shopping-3
public/audio/questions/social-media/social-media-1.mp3,"Have you ever posted anything on social media?",social-media-1
public/audio/questions/social-media/social-media-2.mp3,"When did you start using social media?",social-media-2
public/audio/questions/social-media/social-media-3.mp3,"Do you think you spend too much time on social media?",social-media-3
public/audio/questions/outer-space-and-stars/outer-space-and-stars-1.mp3,"Have you ever learnt about outer space and stars?",outer-space-and-stars-1
public/audio/questions/outer-space-and-stars/outer-space-and-stars-2.mp3,"Do you enjoy watching science-fiction films/movies set in space?",outer-space-and-stars-2
public/audio/questions/outer-space-and-stars/outer-space-and-stars-3.mp3,"Do you want to know more about outer space?",outer-space-and-stars-3
public/audio/questions/hometown/hometown-1.mp3,"Where is your hometown? Is that a big city or a small place?",hometown-1
public/audio/questions/hometown/hometown-2.mp3,"How long have you lived there?",hometown-2
public/audio/questions/hometown/hometown-3.mp3,"What do you like the most about your hometown?",hometown-3
public/audio/questions/parks/parks-1.mp3,"Did you like going to parks as a child?",parks-1
public/audio/questions/parks/parks-2.mp3,"Do you still like going to parks now?",parks-2
public/audio/questions/parks/parks-3.mp3,"Would you like to see more parks in your city?",parks-3
public/audio/questions/place-of-study/place-of-study-1.mp3,"Do you prefer to study at home or in a library?",place-of-study-1
public/audio/questions/place-of-study/place-of-study-2.mp3,"What is your favorite place to study?",place-of-study-2
public/audio/questions/place-of-study/place-of-study-3.mp3,"What part of your school do you like the most?",place-of-study-3
